Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Lloyd,.,Copper,: 52 degree C,hensive Warranty and 10 Years Warranty on Compressor from Lloyd,: No,4.3,0,₹42900,https://rukminim1.flixcart.com/image/312/312/km82d8w0/air-conditioner-new/l/h/p/ls18i56wbel-1-5-split-lloyd-inverter-original-imagf686z6ehxgzt.jpeg?q=70
Voltas,1.5,Copper,1729 W, R-22,58 dB,4.3,5995,₹27950,https://rukminim1.flixcart.com/image/312/312/jucz98w0/air-conditioner-new/e/9/f/wac-183-dza-1-5-window-voltas-fixed-speed-original-imaffgfwgtxmug9f.jpeg?q=70
Blue,Star,Copper,1450 W, R32,46 dB,4.4,1477,₹37890,https://rukminim1.flixcart.com/image/312/312/k5vcya80/air-conditioner-new/e/f/j/fs318aatu-1-5-split-fixed-speed-blue-star-original-imafnktmmr7ksjkd.jpeg?q=70
Panasonic,1.5,Copper,1122.45 kWh,d: No,46 dB,0.0,0,₹38828,https://rukminim1.flixcart.com/image/312/312/krkyt8w0/air-conditioner-new/u/8/t/cs-kn18xky-cu-kn18xky-split-inverter-panasonic-original-imag5bmnepp8zd8s.jpeg?q=70
LG,1.5,Copper,818.81 W,d: Yes,31 dB,4.0,0,₹45990,https://rukminim1.flixcart.com/image/312/312/kll7bm80/air-conditioner-new/3/f/m/ms-q18gwzd-split-lg-inverter-original-imagyz4gpkqx9rdg.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
MarQ,By,Copper,1118 W, R32,38 dB,4.4,326,₹35500,https://rukminim1.flixcart.com/image/312/312/kdeum4w0/air-conditioner-new/j/5/4/fkac155siasmart-1-5-split-marq-by-flipkart-fixed-speed-original-imafubd6znzxvmda.jpeg?q=70
LG,1.5,Copper,1600 W,d: No,31 dB,0.0,0,₹37490,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/9/n/i/-original-imagcmh2h9qsadyy.jpeg?q=70
Panasonic,1,Copper,915 W,d: Yes,38 dB,0.0,0,₹33490,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/c/q/e/-original-imagcs6gyrx9ansn.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Micromax,1,Copper,997 W,d: No,41 dB,4.0,1074,₹27700,https://rukminim1.flixcart.com/image/312/312/kcuug7k0/air-conditioner-new/h/d/m/acs12c3c4qs3wh-mps-1-split-micromax-fixed-speed-original-imaftw6wknj4yttc.jpeg?q=70
SAMSUNG,1.5,Copper,1700 W, R32,35 dB,0.0,0,₹36249,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/n/h/f/-original-imagcbtzmabjvzva.jpeg?q=70
Lloyd,1.5,Copper,1835 W, R-32,42 dB,0.0,0,₹37500,https://rukminim1.flixcart.com/image/312/312/kw6pw280/air-conditioner-new/p/t/b/-original-imag8x348xgzhj9h.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Godrej,1.5,Copper,1380 W, R32,40 dB,4.2,0,₹39399,https://rukminim1.flixcart.com/image/312/312/kcuug7k0/air-conditioner-new/b/r/u/gic-18mtc5-wsa-mps-1-5-split-godrej-inverter-original-imaftw6ya9qdgrzn.jpeg?q=70
Daikin,1.5,Copper,1325 W,d: No,32 dB,3.7,0,₹47690,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/u/h/x/-original-imagcmh3e27e5puj.jpeg?q=70
Lloyd,1.5,Copper,1800 W, R410A,49 dB,4.2,249,₹39000,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/y/f/z/ls18h31lf-mps-1-5-split-lloyd-inverter-original-imafu44g3hj79sws.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
SAMSUNG,1,Alloy,930 W,d: No,48 dB,4.3,0,₹43500,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/z/d/v/ar12nv5xewkxna-mps-1-split-samsung-inverter-original-imafu44g2hz92wpa.jpeg?q=70
LG,1,Copper,3283 W, R - 32,20 dB,0.0,0,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/h/m/t/-original-imagcgwvhzfzffa4.jpeg?q=70
